Norte;Este ;Muestra;zona;MgO;Al2O3;SiO2;P2O5;S;Cl;K2O;CaO;TiO2;V;Cr;MnO;Fe;Co;Ni;Cu;Zn;As;Se;Rb;Sr;Y;Zr;Nb;Mo;Ag;Cd;Sn;Ba;La;Ce;Hf;Ta;W;Au;Hg;Tl;Pb;Bi;Th;U
6974169;355855;5;1;0.000;2.708;20.740;0.104;0.266;0.169;0.100;12.993;0.000;0.031;0.000;1.567;21.998;0.000;0.017;2.479;0.029;0.009;0.000;0.002;0.001;0.013;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000;0.012;0.000;0.000;0.000;0.000;0.000;0.009;0.000;0.000;0.000
6973267;358549;6;1;3.048;1.098;10.867;0.000;0.030;0.683;0.189;0.393;0.018;0.006;0.000;0.079;4.459;0.000;0.061;15.058;0.039;0.005;0.000;0.000;0.002;0.091;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.037;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.014;0.000
6973267;358549;6;1;0.000;9.133;33.919;0.723;0.223;0.130;0.462;0.406;0.179;0.008;0.000;0.140;34.246;0.227;0.018;0.114;0.008;0.000;0.000;0.011;0.000;0.001;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.044;0.034;0.000;0.000
6973267;358549;6;1;2.138;1.729;3.960;0.437;0.088;0.000;0.029;1.541;0.000;0.025;0.000;0.126;47.920;0.180;0.029;0.194;0.003;0.000;0.000;0.027;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.078;0.070;0.000;0.000
6973267;358549;6;1;2.166;2.800;28.634;0.087;0.182;0.280;0.114;3.153;0.000;0.028;0.005;0.107;38.084;0.474;0.000;23.805;0.000;0.000;0.000;0.014;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.005;0.000;0.048;0.030;0.009;0.000
6973267;358549;6;1;3.226;1.593;14.375;0.133;0.000;0.558;0.062;0.665;0.004;0.033;0.000;0.050;22.833;0.369;0.053;67.128;0.000;0.000;0.000;0.008;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.035;0.000;0.125;0.000
6973267;358549;6;1;3.216;3.211;11.647;0.300;0.325;0.097;0.063;1.228;0.000;0.019;0.000;0.085;29.554;0.000;0.022;0.736;0.005;0.000;0.000;0.010;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.041;0.025;0.000;0.000
6973267;358549;6;1;1.830;2.635;7.534;0.014;0.000;0.071;0.007;1.705;0.000;0.018;0.000;0.100;37.955;0.000;0.043;0.463;0.005;0.000;0.000;0.021;0.000;0.000;0.003;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.072;0.053;0.000;0.000
6973267;358549;6;1;0.000;1.519;11.552;0.034;0.000;9.163;0.016;0.754;0.013;0.018;0.006;0.012;2.838;0.023;0.177;56.279;0.000;0.001;0.000;0.000;0.000;0.000;0.004;0.000;0.000;0.000;0.002;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.276;0.025
6973267;358549;6;1;0.000;1.046;52.833;0.118;0.019;0.197;0.042;0.714;0.000;0.013;0.000;0.011;10.263;0.000;0.001;3.024;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.003;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
